Company Details

name,Google
category,Search Engine
website,www.google.com
pocName,Saurabh Agarwal
designation,HR
registeredEmail,aadarshkt17@gmail.com
mobileNumber,8318232564

JNF

JNF:1
designation,Management and Consultancy
placeOfPosting,Moon
description,America
ctcInLpa,5cr
ctcBreakup,12 + 6 + 6
bondDetails,Yes Bonds are there.

INF

INF:1
designation,Hello
typeOfInternship,Jan-June 2022 Dual Degree/ Integrated M. Tech courses only (2022 batch)
description,America
modeOfInternship,Virtual
placeOfPosting,Noida
stipendPerMonth,2Cr
isPPO,true
ctcIfPpo,10crINF:2
designation,HRlaskdfj
typeOfInternship,Jan-June 2022 Dual Degree/ Integrated M. Tech courses only (2022 batch)
description,kasdjfkasjk
modeOfInternship,Virtual
placeOfPosting,adsfhkljfhas
stipendPerMonth,5Cr
isPPO,true
ctcIfPpo,2crINF:3
designation,HRalsdkfjsa
typeOfInternship,Jan-June 2022 Dual Degree/ Integrated M. Tech courses only (2022 batch)
description,laksdjfal;s
modeOfInternship,Virtual
placeOfPosting,alsdkfjas
stipendPerMonth,laksdfjla;s
isPPO,true
ctcIfPpo,lasdkjfINF:4
designation,sadlkfjasl;df
typeOfInternship,Jan-June 2022 Dual Degree/ Integrated M. Tech courses only (2022 batch)
description,aslkdfj;alskdjf
modeOfInternship,Virtual
placeOfPosting,alsdkjfas
stipendPerMonth,laskdfjas
isPPO,true
ctcIfPpo,alksdfjsINF:5
designation,HR
typeOfInternship,Jan-June 2022 Dual Degree/ Integrated M. Tech courses only(2022 batch)
description,GO to the moon
modeOfInternship,Virtual
placeOfPosting,Moon
stipendPerMonth,5Cr
isPPO,true
ctcIfPpo,10cr
